clip,confidence_threshold,positive_frames,negative_release_frames,total_triggers,false_triggers,duplicate_triggers,detected_events,missed_events,mean_alert_delay_seconds,mean_release_delay_seconds,merged_ground_truth_events
nonviolence,0.4,1,1,29,29,0,0,0,,0.0,0
nonviolence,0.4,3,1,15,15,0,0,0,,0.0,0
nonviolence,0.4,5,1,13,13,0,0,0,,0.0,0
nonviolence,0.4,10,1,9,9,0,0,0,,0.0,0
nonviolence,0.4,1,3,21,21,0,0,0,,0.0667,0
nonviolence,0.4,3,3,12,12,0,0,0,,0.0667,0
nonviolence,0.4,5,3,11,11,0,0,0,,0.0667,0
nonviolence,0.4,10,3,8,8,0,0,0,,0.0667,0
nonviolence,0.55,1,1,29,29,0,0,0,,0.0,0
nonviolence,0.55,3,1,11,11,0,0,0,,0.0,0
nonviolence,0.55,5,1,5,5,0,0,0,,0.0,0
nonviolence,0.55,10,1,3,3,0,0,0,,0.0,0
nonviolence,0.55,1,3,19,19,0,0,0,,0.0667,0
nonviolence,0.55,3,3,9,9,0,0,0,,0.0667,0
nonviolence,0.55,5,3,5,5,0,0,0,,0.0667,0
nonviolence,0.55,10,3,3,3,0,0,0,,0.0667,0
nonviolence,0.7,1,1,10,10,0,0,0,,0.0,0
nonviolence,0.7,3,1,8,8,0,0,0,,0.0,0
nonviolence,0.7,5,1,5,5,0,0,0,,0.0,0
nonviolence,0.7,10,1,1,1,0,0,0,,0.0,0
nonviolence,0.7,1,3,5,5,0,0,0,,0.0667,0
nonviolence,0.7,3,3,5,5,0,0,0,,0.0667,0
nonviolence,0.7,5,3,3,3,0,0,0,,0.0667,0
nonviolence,0.7,10,3,1,1,0,0,0,,0.0667,0
nonviolence,0.85,1,1,0,0,0,0,0,,,0
nonviolence,0.85,3,1,0,0,0,0,0,,,0
nonviolence,0.85,5,1,0,0,0,0,0,,,0
nonviolence,0.85,10,1,0,0,0,0,0,,,0
nonviolence,0.85,1,3,0,0,0,0,0,,,0
nonviolence,0.85,3,3,0,0,0,0,0,,,0
nonviolence,0.85,5,3,0,0,0,0,0,,,0
nonviolence,0.85,10,3,0,0,0,0,0,,,0
violence,0.4,1,1,81,0,80,1,0,0.0,0.0,0
violence,0.4,3,1,34,0,33,1,0,0.0833,0.0,0
violence,0.4,5,1,21,0,20,1,0,0.1667,0.0,0
violence,0.4,10,1,8,0,7,1,0,1.5833,0.0,0
violence,0.4,1,3,42,0,41,1,0,0.0,0.0833,0
violence,0.4,3,3,22,0,21,1,0,0.0833,0.0833,0
violence,0.4,5,3,13,0,12,1,0,0.1667,0.0833,0
violence,0.4,10,3,7,0,6,1,0,1.5833,0.0833,0
violence,0.55,1,1,67,0,66,1,0,0.0,0.0,0
violence,0.55,3,1,22,0,21,1,0,1.375,0.0,0
violence,0.55,5,1,10,0,9,1,0,1.7917,0.0,0
violence,0.55,10,1,5,0,4,1,0,8.0,0.0,0
violence,0.55,1,3,43,0,42,1,0,0.0,0.0833,0
violence,0.55,3,3,19,0,18,1,0,1.375,0.0833,0
violence,0.55,5,3,8,0,7,1,0,1.7917,0.0833,0
violence,0.55,10,3,5,0,4,1,0,8.0,0.0833,0
violence,0.7,1,1,36,0,35,1,0,1.3333,0.0,0
violence,0.7,3,1,11,0,10,1,0,1.7083,0.0,0
violence,0.7,5,1,8,0,7,1,0,1.7917,0.0,0
violence,0.7,10,1,1,0,0,1,0,28.0833,0.0,0
violence,0.7,1,3,25,0,24,1,0,1.3333,0.0833,0
violence,0.7,3,3,10,0,9,1,0,1.7083,0.0833,0
violence,0.7,5,3,8,0,7,1,0,1.7917,0.0833,0
violence,0.7,10,3,1,0,0,1,0,28.0833,0.0833,0
violence,0.85,1,1,0,0,0,0,1,,,0
violence,0.85,3,1,0,0,0,0,1,,,0
violence,0.85,5,1,0,0,0,0,1,,,0
violence,0.85,10,1,0,0,0,0,1,,,0
violence,0.85,1,3,0,0,0,0,1,,,0
violence,0.85,3,3,0,0,0,0,1,,,0
violence,0.85,5,3,0,0,0,0,1,,,0
violence,0.85,10,3,0,0,0,0,1,,,0
