clip,strategy,minimum_positives,window_size,confidence_threshold,negative_release_frames,total_triggers,false_triggers,duplicate_triggers,detected_events,missed_events,mean_alert_delay_seconds,mean_release_delay_seconds,merged_ground_truth_events
violence_indoor_pexels_6296646,consecutive,5,5,0.7,3,8,0,7,1,0,0.16,0.08,0
violence_indoor_pexels_6296646,rolling_window,5,7,0.7,3,8,0,7,1,0,0.16,0.08,0
violence_indoor_pexels_31000668,consecutive,5,5,0.7,3,0,0,0,0,1,,,0
violence_indoor_pexels_31000668,rolling_window,5,7,0.7,3,0,0,0,0,1,,,0
violence_indoor_pexels_6296447,consecutive,5,5,0.7,3,3,0,2,1,0,4.68,0.08,0
violence_indoor_pexels_6296447,rolling_window,5,7,0.7,3,3,0,2,1,0,4.68,0.08,0
violence_indoor_pexels_5752174,consecutive,5,5,0.7,3,4,0,3,1,0,6.44,0.08,0
violence_indoor_pexels_5752174,rolling_window,5,7,0.7,3,7,0,6,1,0,5.48,0.08,0
violence_indoor_pexels_6296443,consecutive,5,5,0.7,3,8,8,0,0,0,,0.08,0
violence_indoor_pexels_6296443,rolling_window,5,7,0.7,3,9,9,0,0,0,,0.08,0
violence_indoor_pexels_38631553,consecutive,5,5,0.7,3,6,0,5,1,0,5.64,0.08,0
violence_indoor_pexels_38631553,rolling_window,5,7,0.7,3,10,0,9,1,0,0.96,0.08,0
violence_indoor_pexels_9481016,consecutive,5,5,0.7,3,0,0,0,0,1,,,0
violence_indoor_pexels_9481016,rolling_window,5,7,0.7,3,0,0,0,0,1,,,0
violence_low_light_pexels_3069112,consecutive,5,5,0.7,3,0,0,0,0,0,,,0
violence_low_light_pexels_3069112,rolling_window,5,7,0.7,3,0,0,0,0,0,,,0
violence_low_light_pexels_6296453,consecutive,5,5,0.7,3,0,0,0,0,1,,,0
violence_low_light_pexels_6296453,rolling_window,5,7,0.7,3,0,0,0,0,1,,,0
violence_low_light_pexels_34425523,consecutive,5,5,0.7,3,4,4,0,0,0,,0.04,0
violence_low_light_pexels_34425523,rolling_window,5,7,0.7,3,4,4,0,0,0,,0.04,0
violence_mixed_pexels_6269162,consecutive,5,5,0.7,3,1,0,0,1,0,0.1668,0.0834,0
violence_mixed_pexels_6269162,rolling_window,5,7,0.7,3,2,1,0,1,0,0.0834,0.0834,0
violence_mixed_pexels_7640089,consecutive,5,5,0.7,3,0,0,0,0,0,,,0
violence_mixed_pexels_7640089,rolling_window,5,7,0.7,3,0,0,0,0,0,,,0
violence_mixed_pexels_8798079,consecutive,5,5,0.7,3,0,0,0,0,1,,,0
violence_mixed_pexels_8798079,rolling_window,5,7,0.7,3,0,0,0,0,1,,,0
non_violence_daylight_pexels_34892306,consecutive,5,5,0.7,3,5,5,0,0,0,,0.0333,0
non_violence_daylight_pexels_34892306,rolling_window,5,7,0.7,3,5,5,0,0,0,,0.0333,0
non_violence_daylight_pexels_33567764,consecutive,5,5,0.7,3,0,0,0,0,0,,,0
non_violence_daylight_pexels_33567764,rolling_window,5,7,0.7,3,0,0,0,0,0,,,0
non_violence_daylight_pexels_38298405,consecutive,5,5,0.7,3,0,0,0,0,0,,,0
non_violence_daylight_pexels_38298405,rolling_window,5,7,0.7,3,0,0,0,0,0,,,0
non_violence_indoor_pexels_35315590,consecutive,5,5,0.7,3,0,0,0,0,0,,,0
non_violence_indoor_pexels_35315590,rolling_window,5,7,0.7,3,0,0,0,0,0,,,0
non_violence_indoor_pexels_3252422,consecutive,5,5,0.7,3,0,0,0,0,0,,,0
non_violence_indoor_pexels_3252422,rolling_window,5,7,0.7,3,0,0,0,0,0,,,0
non_violence_daylight_pexels_34359946,consecutive,5,5,0.7,3,0,0,0,0,0,,,0
non_violence_daylight_pexels_34359946,rolling_window,5,7,0.7,3,0,0,0,0,0,,,0
non_violence_mixed_pexels_4800446,consecutive,5,5,0.7,3,3,3,0,0,0,,0.0833,0
non_violence_mixed_pexels_4800446,rolling_window,5,7,0.7,3,3,3,0,0,0,,0.0833,0
non_violence_mixed_pexels_4668582,consecutive,5,5,0.7,3,2,2,0,0,0,,0.0834,0
non_violence_mixed_pexels_4668582,rolling_window,5,7,0.7,3,2,2,0,0,0,,0.0834,0
non_violence_mixed_pexels_8636278,consecutive,5,5,0.7,3,0,0,0,0,0,,,0
non_violence_mixed_pexels_8636278,rolling_window,5,7,0.7,3,0,0,0,0,0,,,0
non_violence_low_light_pexels_7271837,consecutive,5,5,0.7,3,0,0,0,0,0,,,0
non_violence_low_light_pexels_7271837,rolling_window,5,7,0.7,3,0,0,0,0,0,,,0
non_violence_indoor_pexels_4754030,consecutive,5,5,0.7,3,0,0,0,0,0,,,0
non_violence_indoor_pexels_4754030,rolling_window,5,7,0.7,3,1,1,0,0,0,,0.08,0
non_violence_artificial_pexels_30921279,consecutive,5,5,0.7,3,0,0,0,0,0,,,0
non_violence_artificial_pexels_30921279,rolling_window,5,7,0.7,3,0,0,0,0,0,,,0
non_violence_low_light_pexels_34659649,consecutive,5,5,0.7,3,0,0,0,0,0,,,0
non_violence_low_light_pexels_34659649,rolling_window,5,7,0.7,3,0,0,0,0,0,,,0
non_violence_mixed_pexels_38444006,consecutive,5,5,0.7,3,0,0,0,0,0,,,0
non_violence_mixed_pexels_38444006,rolling_window,5,7,0.7,3,0,0,0,0,0,,,0
